,STN-WBAN,DATE,TEMP,DEWP,SLP,STP,MAX,MIN,PRCP
522,,20020607,,,,,,,
523,,20020608,,,,,,,
524,,20020609,,,,,,,
525,,20020610,,,,,,,
526,,20020611,,,,,,,
527,,20020612,,,,,,,
528,,20020613,,,,,,,
529,,20020614,,,,,,,
530,,20020615,,,,,,,
531,,20020616,,,,,,,
532,,20020617,,,,,,,
533,,20020618,,,,,,,
534,,20020619,,,,,,,
535,,20020620,,,,,,,
536,,20020621,,,,,,,
537,,20020622,,,,,,,
538,,20020623,,,,,,,
539,,20020624,,,,,,,
540,,20020625,,,,,,,
541,,20020626,,,,,,,
542,,20020627,,,,,,,
543,,20020628,,,,,,,
544,,20020629,,,,,,,
545,,20020630,,,,,,,
546,,20020701,,,,,,,
547,,20020702,,,,,,,
548,,20020703,,,,,,,
549,,20020704,,,,,,,
550,,20020705,,,,,,,
551,,20020706,,,,,,,
552,,20020707,,,,,,,
553,,20020708,,,,,,,
554,,20020709,,,,,,,
555,,20020710,,,,,,,
556,,20020711,,,,,,,
557,,20020712,,,,,,,
558,,20020713,,,,,,,
559,,20020714,,,,,,,
560,,20020715,,,,,,,
561,,20020716,,,,,,,
562,,20020717,,,,,,,
563,,20020718,,,,,,,
564,,20020719,,,,,,,
565,,20020720,,,,,,,
566,,20020721,,,,,,,
567,,20020722,,,,,,,
568,,20020723,,,,,,,
569,,20020724,,,,,,,
570,,20020725,,,,,,,
571,,20020726,,,,,,,
572,,20020727,,,,,,,
573,,20020728,,,,,,,
574,,20020729,,,,,,,
575,,20020730,,,,,,,
576,,20020731,,,,,,,
577,,20020801,,,,,,,
578,,20020802,,,,,,,
579,,20020803,,,,,,,
580,,20020804,,,,,,,
581,,20020805,,,,,,,
582,,20020806,,,,,,,
583,,20020807,,,,,,,
584,,20020808,,,,,,,
585,,20020809,,,,,,,
586,,20020810,,,,,,,
587,,20020811,,,,,,,
588,,20020812,,,,,,,
589,,20020813,,,,,,,
590,,20020814,,,,,,,
591,,20020815,,,,,,,
592,,20020816,,,,,,,
593,,20020817,,,,,,,
594,,20020818,,,,,,,
595,,20020819,,,,,,,
596,,20020820,,,,,,,
597,,20020821,,,,,,,
598,,20020822,,,,,,,
599,,20020823,,,,,,,
600,,20020824,,,,,,,
601,,20020825,,,,,,,
602,,20020826,,,,,,,
603,,20020827,,,,,,,
604,,20020828,,,,,,,
605,,20020829,,,,,,,
606,,20020830,,,,,,,
607,,20020831,,,,,,,
608,,20020901,,,,,,,
609,,20020902,,,,,,,
610,,20020903,,,,,,,
611,,20020904,,,,,,,
612,,20020905,,,,,,,
613,,20020906,,,,,,,
614,,20020907,,,,,,,
615,,20020908,,,,,,,
616,,20020909,,,,,,,
617,,20020910,,,,,,,
618,,20020911,,,,,,,
619,,20020912,,,,,,,
620,,20020913,,,,,,,
621,,20020914,,,,,,,
622,,20020915,,,,,,,
623,,20020916,,,,,,,
624,,20020917,,,,,,,
625,,20020918,,,,,,,
626,,20020919,,,,,,,
627,,20020920,,,,,,,
628,,20020921,,,,,,,
629,,20020922,,,,,,,
630,,20020923,,,,,,,
631,,20020924,,,,,,,
632,,20020925,,,,,,,
633,,20020926,,,,,,,
634,,20020927,,,,,,,
635,,20020928,,,,,,,
636,,20020929,,,,,,,
637,,20020930,,,,,,,
638,,20021001,,,,,,,
639,,20021002,,,,,,,
640,,20021003,,,,,,,
641,,20021004,,,,,,,
642,,20021005,,,,,,,
643,,20021006,,,,,,,
644,,20021007,,,,,,,
645,,20021008,,,,,,,
646,,20021009,,,,,,,
647,,20021010,,,,,,,
648,,20021011,,,,,,,
649,,20021012,,,,,,,
650,,20021013,,,,,,,
651,,20021014,,,,,,,
652,,20021015,,,,,,,
653,,20021016,,,,,,,
654,,20021017,,,,,,,
655,,20021018,,,,,,,
656,,20021019,,,,,,,
657,,20021020,,,,,,,
658,,20021021,,,,,,,
659,,20021022,,,,,,,
660,,20021023,,,,,,,
661,,20021024,,,,,,,
662,,20021025,,,,,,,
663,,20021026,,,,,,,
664,,20021027,,,,,,,
665,,20021028,,,,,,,
666,,20021029,,,,,,,
667,,20021030,,,,,,,
668,,20021031,,,,,,,
669,,20021101,,,,,,,
670,,20021102,,,,,,,
671,,20021103,,,,,,,
672,,20021104,,,,,,,
673,,20021105,,,,,,,
674,,20021106,,,,,,,
675,,20021107,,,,,,,
676,,20021108,,,,,,,
677,,20021109,,,,,,,
678,,20021110,,,,,,,
679,,20021111,,,,,,,
680,,20021112,,,,,,,
681,,20021113,,,,,,,
682,,20021114,,,,,,,
683,,20021115,,,,,,,
684,,20021116,,,,,,,
685,,20021117,,,,,,,
686,,20021118,,,,,,,
687,,20021119,,,,,,,
688,,20021120,,,,,,,
689,,20021121,,,,,,,
690,,20021122,,,,,,,
691,,20021123,,,,,,,
692,,20021124,,,,,,,
693,,20021125,,,,,,,
694,,20021126,,,,,,,
695,,20021127,,,,,,,
696,,20021128,,,,,,,
697,,20021129,,,,,,,
698,,20021130,,,,,,,
699,,20021201,,,,,,,
700,,20021202,,,,,,,
701,,20021203,,,,,,,
702,,20021204,,,,,,,
703,,20021205,,,,,,,
704,,20021206,,,,,,,
705,,20021207,,,,,,,
706,,20021208,,,,,,,
707,,20021209,,,,,,,
708,,20021210,,,,,,,
709,,20021211,,,,,,,
710,,20021212,,,,,,,
711,,20021213,,,,,,,
712,,20021214,,,,,,,
713,,20021215,,,,,,,
714,,20021216,,,,,,,
715,,20021217,,,,,,,
716,,20021218,,,,,,,
717,,20021219,,,,,,,
718,,20021220,,,,,,,
719,,20021221,,,,,,,
720,,20021222,,,,,,,
721,,20021223,,,,,,,
722,,20021224,,,,,,,
723,,20021225,,,,,,,
724,,20021226,,,,,,,
725,,20021227,,,,,,,
726,,20021228,,,,,,,
727,,20021229,,,,,,,
728,,20021230,,,,,,,
729,,20021231,,,,,,,
730,,20030101,,,,,,,
731,,20030102,,,,,,,
732,,20030103,,,,,,,
733,,20030104,,,,,,,
734,,20030105,,,,,,,
735,,20030106,,,,,,,
736,,20030107,,,,,,,
737,,20030108,,,,,,,
738,,20030109,,,,,,,
739,,20030110,,,,,,,
740,,20030111,,,,,,,
741,,20030112,,,,,,,
742,,20030113,,,,,,,
743,,20030114,,,,,,,
744,,20030115,,,,,,,
745,,20030116,,,,,,,
746,,20030117,,,,,,,
747,,20030118,,,,,,,
748,,20030119,,,,,,,
749,,20030120,,,,,,,
750,,20030121,,,,,,,
751,,20030122,,,,,,,
752,,20030123,,,,,,,
753,,20030124,,,,,,,
754,,20030125,,,,,,,
755,,20030126,,,,,,,
756,,20030127,,,,,,,
757,,20030128,,,,,,,
758,,20030129,,,,,,,
759,,20030130,,,,,,,
760,,20030131,,,,,,,
761,,20030201,,,,,,,
762,,20030202,,,,,,,
763,,20030203,,,,,,,
764,,20030204,,,,,,,
765,,20030205,,,,,,,
766,,20030206,,,,,,,
767,,20030207,,,,,,,
768,,20030208,,,,,,,
769,,20030209,,,,,,,
770,,20030210,,,,,,,
771,,20030211,,,,,,,
772,,20030212,,,,,,,
773,,20030213,,,,,,,
774,,20030214,,,,,,,
775,,20030215,,,,,,,
776,,20030216,,,,,,,
777,,20030217,,,,,,,
778,,20030218,,,,,,,
779,,20030219,,,,,,,
780,,20030220,,,,,,,
781,,20030221,,,,,,,
782,,20030222,,,,,,,
783,,20030223,,,,,,,
784,,20030224,,,,,,,
785,,20030225,,,,,,,
786,,20030226,,,,,,,
787,,20030227,,,,,,,
788,,20030228,,,,,,,
789,,20030301,,,,,,,
790,,20030302,,,,,,,
791,,20030303,,,,,,,
792,,20030304,,,,,,,
793,,20030305,,,,,,,
794,,20030306,,,,,,,
795,,20030307,,,,,,,
796,,20030308,,,,,,,
797,,20030309,,,,,,,
798,,20030310,,,,,,,
799,,20030311,,,,,,,
800,,20030312,,,,,,,
801,,20030313,,,,,,,
802,,20030314,,,,,,,
803,,20030315,,,,,,,
804,,20030316,,,,,,,
805,,20030317,,,,,,,
806,,20030318,,,,,,,
807,,20030319,,,,,,,
808,,20030320,,,,,,,
809,,20030321,,,,,,,
810,,20030322,,,,,,,
811,,20030323,,,,,,,
812,,20030324,,,,,,,
813,,20030325,,,,,,,
814,,20030326,,,,,,,
815,,20030327,,,,,,,
816,,20030328,,,,,,,
817,,20030329,,,,,,,
818,,20030330,,,,,,,
819,,20030331,,,,,,,
820,,20030401,,,,,,,
821,,20030402,,,,,,,
822,,20030403,,,,,,,
823,,20030404,,,,,,,
824,,20030405,,,,,,,
825,,20030406,,,,,,,
826,,20030407,,,,,,,
827,,20030408,,,,,,,
828,,20030409,,,,,,,
829,,20030410,,,,,,,
830,,20030411,,,,,,,
831,,20030412,,,,,,,
832,,20030413,,,,,,,
833,,20030414,,,,,,,
834,,20030415,,,,,,,
835,,20030416,,,,,,,
836,,20030417,,,,,,,
837,,20030418,,,,,,,
838,,20030419,,,,,,,
839,,20030420,,,,,,,
840,,20030421,,,,,,,
841,,20030422,,,,,,,
842,,20030423,,,,,,,
843,,20030424,,,,,,,
844,,20030425,,,,,,,
845,,20030426,,,,,,,
846,,20030427,,,,,,,
847,,20030428,,,,,,,
848,,20030429,,,,,,,
849,,20030430,,,,,,,
850,,20030501,,,,,,,
851,,20030502,,,,,,,
852,,20030503,,,,,,,
853,,20030504,,,,,,,
854,,20030505,,,,,,,
855,,20030506,,,,,,,
856,,20030507,,,,,,,
857,,20030508,,,,,,,
858,,20030509,,,,,,,
859,,20030510,,,,,,,
860,,20030511,,,,,,,
861,,20030512,,,,,,,
862,,20030513,,,,,,,
863,,20030514,,,,,,,
864,,20030515,,,,,,,
865,,20030516,,,,,,,
866,,20030517,,,,,,,
867,,20030518,,,,,,,
868,,20030519,,,,,,,
869,,20030520,,,,,,,
870,,20030521,,,,,,,
871,,20030522,,,,,,,
872,,20030523,,,,,,,
873,,20030524,,,,,,,
874,,20030525,,,,,,,
875,,20030526,,,,,,,
876,,20030527,,,,,,,
877,,20030528,,,,,,,
878,,20030529,,,,,,,
879,,20030530,,,,,,,
880,,20030531,,,,,,,
881,,20030601,,,,,,,
882,,20030602,,,,,,,
883,,20030603,,,,,,,
884,,20030604,,,,,,,
885,,20030605,,,,,,,
886,,20030606,,,,,,,
887,,20030607,,,,,,,
888,,20030608,,,,,,,
889,,20030609,,,,,,,
890,,20030610,,,,,,,
891,,20030611,,,,,,,
892,,20030612,,,,,,,
893,,20030613,,,,,,,
894,,20030614,,,,,,,
895,,20030615,,,,,,,
896,,20030616,,,,,,,
897,,20030617,,,,,,,
898,,20030618,,,,,,,
899,,20030619,,,,,,,
900,,20030620,,,,,,,
901,,20030621,,,,,,,
902,,20030622,,,,,,,
903,,20030623,,,,,,,
904,,20030624,,,,,,,
905,,20030625,,,,,,,
906,,20030626,,,,,,,
907,,20030627,,,,,,,
908,,20030628,,,,,,,
909,,20030629,,,,,,,
910,,20030630,,,,,,,
911,,20030701,,,,,,,
912,,20030702,,,,,,,
913,,20030703,,,,,,,
914,,20030704,,,,,,,
915,,20030705,,,,,,,
916,,20030706,,,,,,,
917,,20030707,,,,,,,
918,,20030708,,,,,,,
919,,20030709,,,,,,,
920,,20030710,,,,,,,
921,,20030711,,,,,,,
922,,20030712,,,,,,,
923,,20030713,,,,,,,
924,,20030714,,,,,,,
925,,20030715,,,,,,,
926,,20030716,,,,,,,
927,,20030717,,,,,,,
928,,20030718,,,,,,,
929,,20030719,,,,,,,
930,,20030720,,,,,,,
931,,20030721,,,,,,,
932,,20030722,,,,,,,
933,,20030723,,,,,,,
934,,20030724,,,,,,,
935,,20030725,,,,,,,
936,,20030726,,,,,,,
937,,20030727,,,,,,,
938,,20030728,,,,,,,
939,,20030729,,,,,,,
940,,20030730,,,,,,,
941,,20030731,,,,,,,
942,,20030801,,,,,,,
943,,20030802,,,,,,,
944,,20030803,,,,,,,
945,,20030804,,,,,,,
946,,20030805,,,,,,,
947,,20030806,,,,,,,
948,,20030807,,,,,,,
949,,20030808,,,,,,,
950,,20030809,,,,,,,
951,,20030810,,,,,,,
952,,20030811,,,,,,,
953,,20030812,,,,,,,
954,,20030813,,,,,,,
955,,20030814,,,,,,,
956,,20030815,,,,,,,
957,,20030816,,,,,,,
958,,20030817,,,,,,,
959,,20030818,,,,,,,
960,,20030819,,,,,,,
961,,20030820,,,,,,,
962,,20030821,,,,,,,
963,,20030822,,,,,,,
964,,20030823,,,,,,,
965,,20030824,,,,,,,
966,,20030825,,,,,,,
967,,20030826,,,,,,,
968,,20030827,,,,,,,
969,,20030828,,,,,,,
970,,20030829,,,,,,,
971,,20030830,,,,,,,
972,,20030831,,,,,,,
973,,20030901,,,,,,,
974,,20030902,,,,,,,
975,,20030903,,,,,,,
976,,20030904,,,,,,,
977,,20030905,,,,,,,
978,,20030906,,,,,,,
979,,20030907,,,,,,,
980,,20030908,,,,,,,
981,,20030909,,,,,,,
982,,20030910,,,,,,,
983,,20030911,,,,,,,
984,,20030912,,,,,,,
985,,20030913,,,,,,,
986,,20030914,,,,,,,
987,,20030915,,,,,,,
988,,20030916,,,,,,,
989,,20030917,,,,,,,
990,,20030918,,,,,,,
991,,20030919,,,,,,,
992,,20030920,,,,,,,
